Posição,Código IBGE,Município,UF,População
323º,5211909,Jataí,Goiás,98128
324º,3300308,Barra do Piraí,Rio de Janeiro,97460
325º,2501807,Bayeux,Paraíba,97010
326º,3132404,Itajubá,Minas Gerais,97000
327º,1302504,Manacapuru,Amazonas,96460
328º,1100304,Vilhena,Rondônia,95630
329º,3528502,Mairiporã,São Paulo,95601
330º,4107652,Fazenda Rio Grande,Paraná,95225
331º,2802908,Itabaiana,Sergipe,95196
332º,2101400,Balsas,Maranhão,94779
333º,3145208,Nova Serrana,Minas Gerais,94681
334º,2607208,Ipojuca,Pernambuco,94533
335º,4126256,Sarandi,Paraná,94181
336º,4104303,Campo Mourão,Paraná,94153
337º,3522406,Itapeva,São Paulo,93570
338º,3557105,Votuporanga,São Paulo,92768
339º,3147105,Pará de Minas,Minas Gerais,92739
340º,3133808,Itaúna,Minas Gerais,92696
341º,3508504,Caçapava,São Paulo,92587
342º,3147006,Paracatu,Minas Gerais,92386
343º,3530805,Mogi Mirim,São Paulo,92365
344º,3144805,Nova Lima,Minas Gerais,92178
345º,3113404,Caratinga,Minas Gerais,91841
346º,5102504,Cáceres,Mato Grosso,91271
347º,3162500,São João del-Rei,Minas Gerais,90263
348º,3549102,São João da Boa Vista,São Paulo,90089
349º,3148103,Patrocínio,Minas Gerais,89983
350º,2906501,Candeias,Bahia,89707
351º,5006606,Ponta Porã,Mato Grosso do Sul,89592
352º,3504503,Avaré,São Paulo,89479
353º,2806701,São Cristóvão,Sergipe,89232
354º,3168705,Timóteo,Minas Gerais,88931
355º,5217609,Planaltina,Goiás,88863
356º,3139409,Manhuaçu,Minas Gerais,88580
357º,1100049,Cacoal,Rondônia,88507
358º,3550605,São Roque,São Paulo,88473
359º,4108403,Francisco Beltrão,Paraná,88465
360º,3555406,Ubatuba,São Paulo,88313
361º,2109908,Santa Inês,Maranhão,88013
362º,3527207,Lorena,São Paulo,87980
363º,4118402,Paranavaí,Paraná,87850
364º,2101608,Barra do Corda,Maranhão,87135
365º,2911709,Guanambi,Bahia,86808
366º,2311306,Quixadá,Ceará,86605
367º,3503901,Arujá,São Paulo,86430
368º,2613909,Serra Talhada,Pernambuco,85568
369º,3550704,São Sebastião,São Paulo,85538
370º,1709500,Gurupi,Tocantins,85523
371º,4303004,Cachoeira do Sul,Rio Grande do Sul,85495
372º,5107925,Sorriso,Mato Grosso,85223
373º,3305505,Saquarema,Rio de Janeiro,85175
374º,5204508,Caldas Novas,Goiás,84900
375º,1301209,Coari,Amazonas,84762
376º,3305554,Seropédica,Rio de Janeiro,84416
377º,4307708,Esteio,Rio Grande do Sul,84237
378º,3170404,Unaí,Minas Gerais,83980
379º,2601102,Araripina,Pernambuco,83757
380º,2917508,Jacobina,Bahia,83635
381º,2919553,Luís Eduardo Magalhães,Bahia,83557
382º,4310207,Ijuí,Rio Grande do Sul,83330
383º,2606408,Gravatá,Pernambuco,83241
384º,2930501,Serrinha,Bahia,83088
385º,4215802,São Bento do Sul,Santa Catarina,82842
386º,2309706,Pacatuba,Ceará,82824
387º,2604007,Carpina,Pernambuco,82685
388º,1200203,Cruzeiro do Sul,Acre,82622
389º,3509601,Campo Limpo Paulista,São Paulo,82520
390º,1506138,Redenção,Pará,82464
391º,2108603,Pinheiro,Maranhão,82374
392º,4317103,Santana do Livramento,Rio Grande do Sul,82312
393º,3529302,Matão,São Paulo,82307
394º,3513405,Cruzeiro,São Paulo,81724
395º,2930105,Senhor do Bonfim,Bahia,81218
396º,4118501,Pato Branco,Paraná,80710
397º,2910057,Dias d'Ávila,Bahia,80657
398º,4319901,Sapiranga,Rio Grande do Sul,80311
399º,2407104,Macaíba,Rio Grande do Norte,80031
400º,3120904,Curvelo,Minas Gerais,79878
401º,1504703,Moju,Pará,79825
402º,4311403,Lajeado,Rio Grande do Sul,79819
403º,3101607,Alfenas,Minas Gerais,79707
404º,3136207,João Monlevade,Minas Gerais,79590
405º,4105508,Cianorte,Paraná,79571
406º,3306008,Três Rios,Rio de Janeiro,79402
407º,2606200,Goiana,Pernambuco,79249
408º,2301000,Aquiraz,Ceará,79128
409º,4317509,Santo Ângelo,Rio Grande do Sul,79101
410º,3169307,Três Corações,Minas Gerais,78999
411º,2103208,Chapadinha,Maranhão,78965
412º,4203204,Camboriú,Santa Catarina,78731
413º,2311405,Quixeramobim,Ceará,78658
414º,3171303,Viçosa,Minas Gerais,78381
415º,4300406,Alegrete,Rio Grande do Sul,78003
416º,3506102,Bebedouro,São Paulo,77761
417º,3519709,Ibiúna,São Paulo,77566
418º,2916401,Itapetinga,Bahia,77533
419º,2302800,Canindé,Ceará,77514
420º,4203006,Caçador,Santa Catarina,77323
421º,4127106,Telêmaco Borba,Paraná,77276
422º,4211306,Navegantes,Santa Catarina,77137
423º,3527108,Lins,São Paulo,77021
424º,2208007,Picos,Piauí,76928
425º,3205101,Viana,Espírito Santo,76776
426º,3524303,Jaboticabal,São Paulo,76563
427º,2311801,Russas,Ceará,76475
428º,2707701,Rio Largo,Alagoas,76019
429º,2601706,Belo Jardim,Pernambuco,75986
430º,3539301,Pirassununga,São Paulo,75474
431º,3556701,Vinhedo,São Paulo,75129
432º,3115300,Cataguases,Minas Gerais,75025
433º,2313401,Tianguá,Ceará,74719
434º,3146107,Ouro Preto,Minas Gerais,74659
435º,2914604,Irecê,Bahia,74483
436º,2304103,Crateús,Ceará,74426
437º,3306107,Valença,Rio de Janeiro,74237
438º,2706307,Palmeira dos Índios,Alagoas,74208
439º,3509205,Cajamar,São Paulo,73921
440º,2402600,Ceará-Mirim,Rio Grande do Norte,73849
441º,3522604,Itapira,São Paulo,73844
442º,1505064,Novo Repartimento,Pará,73802
443º,4204301,Concórdia,Santa Catarina,73766
444º,2601201,Arcoverde,Pernambuco,73667
445º,2301109,Aracati,Ceará,73629
446º,2906006,Campo Formoso,Bahia,73448
447º,2907202,Casa Nova,Bahia,73382
448º,4317202,Santa Rosa,Rio Grande do Sul,72753
449º,2102325,Buriticupu,Maranhão,71979
450º,5219753,Santo Antônio do Descoberto,Goiás,71887
451º,3135100,Janaúba,Minas Gerais,71653
452º,2110005,Santa Luzia,Maranhão,71576
453º,4104907,Castro,Paraná,71501
454º,3501905,Amparo,São Paulo,71193
455º,2303501,Cascavel,Ceará,71079
456º,1505304,Oriximiná,Pará,71078
457º,2309607,Pacajus,Ceará,70911
458º,1506708,Santana do Araguaia,Pará,70764
459º,2903904,Bom Jesus da Lapa,Bahia,70618
460º,3164704,São Sebastião do Paraíso,Minas Gerais,70533
461º,4322608,Venâncio Aires,Rio Grande do Sul,70481
462º,2904605,Brumado,Bahia,69677
463º,2516201,Sousa,Paraíba,69554
464º,4307906,Farroupilha,Rio Grande do Sul,69542
465º,2802106,Estância,Sergipe,69278
466º,2104800,Grajaú,Maranhão,69232
467º,4214805,Rio do Sul,Santa Catarina,69188
468º,3512803,Cosmópolis,São Paulo,69086
469º,3124104,Esmeraldas,Minas Gerais,69010
470º,3530508,Mococa,São Paulo,68994
471º,1506500,Santa Izabel do Pará,Pará,68836
472º,2609907,Ouricuri,Pernambuco,68776
473º,3515509,Fernandópolis,São Paulo,68670
474º,3135209,Januária,Minas Gerais,68584
475º,3126109,Formiga,Minas Gerais,68423
476º,2908408,Conceição do Coité,Bahia,68303
477º,2605202,Escada,Pernambuco,68281
478º,3515103,Embu-Guaçu,São Paulo,68270
479º,2402006,Caicó,Rio Grande do Norte,68222
480º,2503209,Cabedelo,Paraíba,68033
481º,2105401,Itapecuru-Mirim,Maranhão,67726
482º,5208608,Goianésia,Goiás,67507
483º,2305407,Icó,Ceará,67486
484º,4205902,Gaspar,Santa Catarina,67392
485º,2915601,Itamaraju,Bahia,67356
486º,3526803,Lençóis Paulista,São Paulo,67185
487º,1502202,Capanema,Pará,67150
488º,4201406,Araranguá,Santa Catarina,67110
489º,2610905,Pesqueira,Pernambuco,66881
490º,2914703,Itaberaba,Bahia,66806
491º,5205497,Cidade Ocidental,Goiás,66777
492º,3537602,Peruíbe,São Paulo,66572
493º,4202305,Biguaçu,Santa Catarina,66558
494º,4207502,Indaial,Santa Catarina,66497
495º,2709301,União dos Palmares,Alagoas,66477
496º,4303509,Camaquã,Rio Grande do Sul,66215
497º,2305233,Horizonte,Ceará,65928
498º,3555000,Tupã,São Paulo,65758
499º,4322509,Vacaria,Rio Grande do Sul,65397
500º,2909802,Cruz das Almas,Bahia,64932
501º,4303905,Campo Bom,Rio Grande do Sul,64914
502º,4122404,Rolândia,Paraná,64726
503º,2706703,Penedo,Alagoas,64497
504º,2103604,Coroatá,Maranhão,64403
505º,2614501,Surubim,Pernambuco,64373
506º,1501782,Breu Branco,Pará,64194
507º,4312401,Montenegro,Rio Grande do Sul,63868
508º,3149309,Pedro Leopoldo,Minas Gerais,63837
509º,1304062,Tabatinga,Amazonas,63635
510º,4306106,Cruz Alta,Rio Grande do Sul,63463
511º,2302602,Camocim,Ceará,62985
512º,4318309,São Gabriel,Rio Grande do Sul,62957
513º,2610004,Palmares,Pernambuco,62832
514º,4318002,São Borja,Rio Grande do Sul,62808
515º,5213103,Mineiros,Goiás,62750
516º,3537305,Penápolis,São Paulo,62738
517º,2208403,Piripiri,Piauí,62733
518º,2914000,Ipirá,Bahia,62631
519º,2101707,Barreirinhas,Maranhão,62458
520º,4304705,Carazinho,Rio Grande do Sul,62339
521º,1503457,Ipixuna do Pará,Pará,62237
522º,1302900,Maués,Amazonas,62212
523º,2300200,Acaraú,Ceará,62199
524º,2503704,Cajazeiras,Paraíba,62187
525º,2609402,Moreno,Pernambuco,62119
526º,1304203,Tefé,Amazonas,62021
527º,2928604,Santo Amaro,Bahia,61961
528º,2910701,Euclides da Cunha,Bahia,61924
529º,2708600,São Miguel dos Campos,Alagoas,61827
530º,3137601,Lagoa Santa,Minas Gerais,61752
531º,1508001,Tomé-Açu,Pará,61709
532º,2308708,Morada Nova,Ceará,61548
533º,5105259,Lucas do Rio Verde,Mato Grosso,61515
534º,3505906,Batatais,São Paulo,61480
535º,4208302,Itapema,Santa Catarina,61187
536º,1503309,Igarapé-Miri,Pará,60994
537º,1501501,Benevides,Pará,60990
538º,2601904,Bezerros,Pernambuco,60549
539º,2612208,Salgueiro,Pernambuco,60453
540º,4110706,Irati,Paraná,60425
541º,3152105,Ponte Nova,Minas Gerais,60361
542º,1505809,Portel,Pará,60322
543º,2314102,Viçosa do Ceará,Ceará,60030
544º,3140001,Mariana,Minas Gerais,59857
545º,2301901,Barbalha,Ceará,59811
546º,1508308,Viseu,Pará,59735
547º,3506359,Bertioga,São Paulo,59297
548º,5107040,Primavera do Leste,Mato Grosso,59293
549º,5101803,Barra do Garças,Mato Grosso,58974
550º,2203909,Floriano,Piauí,58969
551º,2307601,Limoeiro do Norte,Ceará,58915
552º,2506301,Guarabira,Paraíba,58881
553º,2613008,São Bento do Una,Pernambuco,58824
554º,3127107,Frutal,Minas Gerais,58770
555º,3530300,Mirassol,São Paulo,58760
556º,3519600,Ibitinga,São Paulo,58715
557º,2112506,Tutóia,Maranhão,58605
558º,3304300,Rio Bonito,Rio de Janeiro,58272
559º,3533403,Nova Odessa,São Paulo,58227
560º,2400208,Assu,Rio Grande do Norte,58183
561º,2313302,Tauá,Ceará,58119
562º,1502939,Dom Eliseu,Pará,58071
563º,3301850,Guapimirim,Rio de Janeiro,57921
564º,3507001,Boituva,São Paulo,57910
565º,2602803,Buíque,Pernambuco,57696
566º,2701407,Campo Alegre,Alagoas,57548
567º,4321204,Taquara,Rio Grande do Sul,57544
568º,1503804,Jacundá,Pará,57526
569º,1508126,Ulianópolis,Pará,57525
570º,2702306,Coruripe,Alagoas,57498
571º,1507607,São Miguel do Guamá,Pará,57364
572º,3502101,Andradina,São Paulo,57350
573º,3531803,Monte Mor,São Paulo,57240
574º,3169406,Três Pontas,Minas Gerais,57097
575º,1100288,Rolim de Moura,Rondônia,57074
576º,3300803,Cachoeiras de Macacu,Rio de Janeiro,57048
577º,3524006,Itupeva,São Paulo,57031
578º,4128203,União da Vitória,Paraná,57027
579º,3553708,Taquaritinga,São Paulo,56951
580º,3161106,São Francisco,Minas Gerais,56805
581º,3151206,Pirapora,Minas Gerais,56706
582º,2112704,Vargem Grande,Maranhão,56511
583º,1504802,Monte Alegre,Pará,56466
584º,2907509,Catu,Bahia,56459
